trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
130,False,"{'e': 0.8297, 'a': 0.38}",30,8,-41.775015775510674,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
131,False,"{'e': 0.82708, 'a': 0.38}",30,2,-24.612444425796124,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 0}",1
132,False,"{'e': 0.8244400000000001, 'a': 0.38}",25,0,-140.78212459354557,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
133,False,"{'e': 0.8217800000000001, 'a': 0.38}",20,0,-98.3405399018233,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
134,False,"{'e': 0.8191, 'a': 0.38}",20,0,-40.448982304003565,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
135,False,"{'e': 0.8164, 'a': 0.38}",20,0,-100.16911357764252,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
136,False,"{'e': 0.81368, 'a': 0.38}",20,0,-154.26932430584705,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
137,False,"{'e': 0.81094, 'a': 0.38}",35,0,-120.22343451429802,"{0: 24, 1: 4, 2: 3, 3: 3, 4: 1}",0
138,False,"{'e': 0.80818, 'a': 0.38}",25,0,-218.20513181288845,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
139,False,"{'e': 0.8054, 'a': 0.38}",25,0,-124.93485421915547,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
140,False,"{'e': 0.8026, 'a': 0.38}",20,0,-88.90262058901834,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
141,False,"{'e': 0.7997799999999999, 'a': 0.38}",20,0,-67.08141774415417,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
142,False,"{'e': 0.79694, 'a': 0.38}",25,0,-112.4291051492892,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",1
143,False,"{'e': 0.79408, 'a': 0.38}",20,0,-61.932386577985724,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
144,False,"{'e': 0.7912, 'a': 0.38}",20,0,-78.54551290234278,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
145,False,"{'e': 0.7883, 'a': 0.38}",20,10,-4.318963190681863,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
146,False,"{'e': 0.78538, 'a': 0.38}",20,3,-71.58378436092057,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
147,False,"{'e': 0.7824399999999999, 'a': 0.38}",25,0,-151.89678091847946,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
148,False,"{'e': 0.77948, 'a': 0.38}",20,0,-82.00478306616913,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
149,False,"{'e': 0.7765, 'a': 0.38}",30,0,-163.2388046438376,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
150,False,"{'e': 0.7735, 'a': 0.38}",25,0,-24.273797868502733,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
